Company,Exchange,Drug_Name,FDA_Scientific_Name,Date,Classification,Day_-5_Simple,Day_-5_Log,Day_-4_Simple,Day_-4_Log,Day_-3_Simple,Day_-3_Log,Day_-2_Simple,Day_-2_Log,Day_-1_Simple,Day_-1_Log,Day_0_Simple,Day_0_Log,Day_+1_Simple,Day_+1_Log,Day_+2_Simple,Day_+2_Log,Day_+3_Simple,Day_+3_Log,Day_+4_Simple,Day_+4_Log,Day_+5_Simple,Day_+5_Log,Cumulative_Simple_-5_to_-1,Cumulative_Log_-5_to_-1,Cumulative_Simple_+1_to_+5,Cumulative_Log_+1_to_+5
Sun Pharma,NSE,Unknown Drug,Unknown Drug,2017-11-08,Bad,0.003572668406538024,0.0035436685822084237,-0.011827476473974391,-0.01218244532492269,-0.041440955674136234,-0.041678809998691835,-0.01151953549612155,-0.011687772174777447,-0.0041757646859298635,-0.004496899288713965,0.017403455537223812,0.017218953080275712,-0.005948174955877124,-0.005974595447978624,0.007540614384726644,0.007475919565203444,0.01913735523341329,0.01909794636462929,0.007486359696371599,0.007411262706295298,-0.04869861257563743,-0.04954922382354863,-0.06539106392362401,-0.06650225820489751,-0.02048245821700302,-0.021538690635399222
Sun Pharma,NSE,Unknown Drug,Unknown Drug,2020-08-10,Bad,-0.016498887753659812,-0.01677066192865281,0.0002681506390875485,0.00010115857905514808,0.008389126095256369,0.00838910817626307,0.006442636128162947,0.006422057957782248,0.0016741280244815335,0.0016035205277531335,-0.0020226237783000853,-0.0025889530723300844,0.009830198499315549,0.00981689940997385,0.007573187645145016,0.0074363923823770155,-0.007920490089233916,-0.008151232370234915,0.009211291207676968,0.009008842743296766,0.0007297174127714381,0.0007137198914707382,0.0002751531333285862,-0.0002548166877992114,0.019423904675675056,0.018824622056883455
Sun Pharma,NSE,Unknown Drug,Unknown Drug,2023-02-14,Bad,-0.012569363823949055,-0.012708066334747154,-0.005898970472949018,-0.005997665252004618,-0.001859217632411773,-0.0018780236511044728,0.0004033684890075098,0.0004033487253104098,0.010859389576740746,0.010822676783017647,-0.001418302179768017,-0.0014535470334919162,-0.01021403426103029,-0.01027806574128559,-0.007674643099262556,-0.007674674657098056,0.011376942815039773,0.011319264925862573,0.011468234018059447,0.011468228873616947,-0.007637417870534505,-0.007722695437705106,-0.009064793863561588,-0.009357729729528187,-0.0026809183977281317,-0.002887942036609233
Sun Pharma,NSE,Its Product,Its Product,2023-08-21,Bad,0.0005669329984311754,0.0004438962585197742,0.00374373091028946,0.0037423245651965597,-0.000968412980438928,-0.001002564932212728,0.001357631935050025,0.001357126530946825,-0.0081542359473579,-0.008191846578297399,-0.002724179915577209,-0.002726602427526409,-0.0014452542457053076,-0.0014452629453384075,-0.009467109365051938,-0.009541835350722838,0.00020844768222929005,0.00019686460424539042,0.010031896216946088,0.00997390761393849,-0.0005628031767213378,-0.0006092761421565389,-0.0034543530840261674,-0.003651064155846968,-0.0012348228883032036,-0.001425602220033904
Sun Pharma,NSE,Unknown Drug,Unknown Drug,2024-07-03,Bad,-0.007729398248761073,-0.007785148437326273,-0.005714256918091994,-0.005719456118225294,-0.014022844578297208,-0.014027437131159406,-0.004365435646802461,-0.004365557326478261,0.0018848945402835098,0.0018815239632625099,-0.004462437083273101,-0.004483443948408601,0.006637683513100349,0.006517049847535348,-0.008362756615609805,-0.008385367919158004,-0.0014234691645399252,-0.0014528892887846253,0.012567026827922026,0.012395563902956827,0.010434163509176256,0.010399952909212754,-0.029947040851669222,-0.030016075049926722,0.0198526480700489,0.0194743094517623
Biocon,NSE,Unknown Drug,Unknown Drug,2017-05-10,Bad,-0.036011813194898074,-0.037298333835508374,0.012790830294605083,0.012550592325729883,-0.012506891834385133,-0.012667455810960133,0.008062460263051937,0.007932532217423337,-0.004955254782687168,-0.004979710310258867,-0.032666903284797766,-0.033481268261710065,-0.004876881701517281,-0.004883869260682681,-0.0158009529254752,-0.0159854706875147,0.010977392559483323,0.010521129648413525,-0.008961045927451707,-0.008977264746569607,-0.010377379430085995,-0.010457149766237395,-0.03262066925431335,-0.03446237541357416,-0.029038867425046862,-0.02978262481259086
Biocon,NSE,Of Amgen,Of Amgen,2017-10-10,Bad,0.009285766507221127,0.009180185016235926,-0.009585941832765385,-0.009621501819671585,0.010027728981767795,0.009955537898077495,0.006293759923269398,0.006092318199804797,-0.01894183407920473,-0.01912647519339743,0.05316502223840351,0.050658283514623606,0.0010816774571523417,0.0010697511284318414,-0.0001272705032342846,-0.00020169244208178422,0.002609924148888457,0.002604706013056057,-0.005245208831500656,-0.0053135433903209565,0.023138382597618103,0.022723958448182705,-0.0029205204997117956,-0.0035199358989507976,0.021457504868923963,0.02088317975726786
Biocon,NSE,Lantus,Lantus,2018-02-21,Bad,0.0028773233195877115,0.002841025958447412,-0.009020268070742164,-0.009058628175101164,0.0036402909372489954,0.003600975651752095,-0.004725172845821846,-0.005076696034625745,-0.023652274658226155,-0.02415276613221746,0.025187152572210297,0.0251087116771474,0.04591540331805717,0.04362742233179037,-0.011507765672282516,-0.011600966942229915,0.0032831810909843477,0.0032827980391031478,-0.007153808435269774,-0.0071981057425091755,0.01231575246040659,0.012250374975355392,-0.03088010131795346,-0.03184608873174486,0.04285276276189581,0.040361522661509816
Biocon,NSE,Unknown Drug,Unknown Drug,2023-02-13,Bad,0.02516027090206553,0.02461329535732133,-0.011689096467656972,-0.011783670616680272,0.011381415845283164,0.011030963828951563,-0.0016978989031331284,-0.0017054920654158284,-0.0037369944142930317,-0.0037424186300586315,-0.018433146037403016,-0.018619608408633415,-0.007431577050749363,-0.007499021482750364,0.01329054403671605,0.01320146355577885,0.01371013567006243,0.013513748189224828,-0.027564653498192093,-0.028499501322301994,-0.01317602653629146,-0.01339211636829346,0.019417696962265564,0.01841267787411816,-0.021171577378454435,-0.02267542742834214
Biocon,NSE,Unknown Drug,Unknown Drug,2023-10-09,Bad,-0.001350531513532035,-0.0015451234469223349,0.011241672862490962,0.011239987745870861,-0.014589222386602266,-0.015011672780326366,-0.002306695011455939,-0.002317868451198439,-0.0011052916335442097,-0.0011117702798147098,-0.014357607784439591,-0.014478956129688492,-0.007708824054411298,-0.007757069332837898,-0.007250101675439981,-0.007251983346267781,0.008328760169539297,0.008274127205617997,-0.016090930964906602,-0.016321874287413305,-0.0008867722374430162,-0.0008877185265294163,-0.008110067682643489,-0.008746447212390988,-0.0236078687626616,-0.023944518287430404
