Company,Exchange,Drug_Name,FDA_Scientific_Name,Date,Classification,Day_-5_Simple,Day_-5_Log,Day_-4_Simple,Day_-4_Log,Day_-3_Simple,Day_-3_Log,Day_-2_Simple,Day_-2_Log,Day_-1_Simple,Day_-1_Log,Day_0_Simple,Day_0_Log,Day_1_Simple,Day_1_Log,Day_2_Simple,Day_2_Log,Day_3_Simple,Day_3_Log,Day_4_Simple,Day_4_Log,Day_5_Simple,Day_5_Log,Cumulative_Simple_-5_to_-1,Cumulative_Log_-5_to_-1,Cumulative_Simple_+1_to_+5,Cumulative_Log_+1_to_+5
Sun Pharma,NSE,Unknown Drug,Unknown Drug,2015-08-30,Bad,-0.0005610558014953,-0.0005612132521967,-0.0198741607507111,-0.02007430816381,0.0333371516917477,0.032793518001726,-0.0172394452308716,-0.0173897747031136,-0.0172394452308716,-0.0173897747031136,0.0141008667429172,0.0140023743272117,0.0141008667429172,0.0140023743272117,0.0033374547846587,0.0033318978430339,-0.0130827358691842,-0.013169068664228,-0.0058415790541395,-0.0058587078156459,-0.030792802880476,-0.0312768642320881,-0.021576955322201892,-0.022621552820507894,-0.0322787962762238,-0.0329703685417164
Sun Pharma,NSE,Unknown Drug,Unknown Drug,2015-09-24,Bad,,,-0.0057998338222735,-0.0058167181743987,-0.0057998338222735,-0.0058167181743987,0.0007222734838217,0.0007220127698592,-0.0042749993455996,-0.0042841632818418,-0.0054085427697856,-0.0054232218895879,-0.0054085427697856,-0.0054232218895879,-0.0054085427697856,-0.0054232218895879,-0.0346449719694001,-0.0352593406085667,-0.0346449719694001,-0.0352593406085667,-0.0148084666130963,-0.0149192065740375,-0.015152393506324899,-0.01519558686078,-0.0949154960914677,-0.09628433157034669
Sun Pharma,NSE,Unknown Drug,Unknown Drug,2016-03-10,Bad,,,,,0.0021007629824487,0.0020985594653996,0.0021007629824487,0.0020985594653996,0.0026787920138497,0.0026752104452821,0.004820427610368,0.004808846551387,0.0036415797452176,0.0036349652469821,0.0036415797452176,0.0036349652469821,-0.0069109250024268,-0.0069349160420314,-0.0069109250024268,-0.0069349160420314,-0.0220946973338779,-0.022342441175161,0.0068803179787471,0.006872329376081301,-0.0286333878482963,-0.0289423427652596
Sun Pharma,NSE,Unknown Drug,Unknown Drug,2016-07-28,Bad,,,0.0221206007365815,0.0218794894541333,0.0221206007365815,0.0218794894541333,-0.0069654739777943,-0.0069898461333442,0.0118988956764722,0.0118286604163597,0.0217230885208934,0.0214905045011355,0.0054516914763511,0.005436884796298,0.0054516914763511,0.005436884796298,0.0068676835734793,0.0068442084531582,0.0068676835734793,0.0068442084531582,-0.00807748535125,-0.0081102849811423,0.0491746231718409,0.0485977931912821,0.0165612647484108,0.016451901517770103
Sun Pharma,NSE,Unknown Drug,Unknown Drug,2017-02-05,Bad,-0.020550748906875,-0.0207648539728321,-0.0094217766352339,-0.009466442347683,0.0253375418387502,0.025021867491003,0.0091208646883502,0.0090795208064993,0.0091208646883502,0.0090795208064993,0.0431054718667991,0.0422022944599715,0.0431054718667991,0.0422022944599715,-0.008220510926999,-0.0082544856481059,-0.011051235146442,-0.0111127537028084,-0.010117726596225,-0.0101692586783028,-0.0006867992360137,-0.0006870351906509,0.013606745673341702,0.0129496127834865,0.013029199961119398,0.0119787612401035
Sun Pharma,NSE,Unknown Drug,Unknown Drug,2017-03-14,Bad,0.0069812944438238,0.0069570380364142,-0.0032111197214297,-0.0032162864299402,-0.0032111197214297,-0.0032162864299402,-0.0032111197214297,-0.0032162864299402,0.0369719433030788,0.0363048732430759,0.0369719433030788,0.0363048732430759,-0.0033179768280517,-0.0033234935193835,0.0070126214111734,0.0069881473333246,-0.0046426792279121,-0.0046534899365313,-0.0046426792279121,-0.0046534899365313,,,0.0343198785826135,0.033613051989669504,-0.0055907138727024994,-0.0056423260591215
Sun Pharma,NSE,Unknown Drug,Unknown Drug,2018-02-21,Bad,-0.0008687114231401,-0.000869088971578,-0.0008687114231401,-0.000869088971578,-0.0240763409780163,-0.0243709138434293,-0.0240763409780163,-0.0243709138434293,-0.0033842940671405,-0.0033900337438015,-0.0603217840552275,-0.0622177857871474,0.0298620325452778,0.0294248442844107,0.0520825303183685,0.0507715621113831,0.0520825303183685,0.0507715621113831,-0.024050040469785,-0.0243439648565863,-0.024050040469785,-0.0243439648565863,-0.0532743988694533,-0.0538700393738161,0.08592701224244478,0.0822800387940043
Sun Pharma,NSE,Unknown Drug,Unknown Drug,2018-07-30,Bad,-0.0080860620529891,-0.008118931562596,-0.0049269896176723,-0.0049391672468533,0.0029705245172013,0.0029661212271465,0.0029705245172013,0.0029661212271465,0.0101430733291214,0.0100919775823028,0.0101430733291214,0.0100919775823028,0.0103072186950898,0.0102544615265775,0.0108179974715392,0.0107599015490341,0.0100060580973473,0.0099563289513649,0.0093900357414284,0.0093462234085179,0.0093900357414284,0.0093462234085179,0.0030710706928625976,0.0029661212271465,0.04991134574683309,0.0496631388440123
Sun Pharma,NSE,Unknown Drug,Unknown Drug,2018-08-05,Bad,0.0103072186950898,0.0102544615265775,0.0108179974715392,0.0107599015490341,0.0100060580973473,0.0099563289513649,0.0093900357414284,0.0093462234085179,0.0093900357414284,0.0093462234085179,-0.016557028192926,-0.0166956277787256,-0.016557028192926,-0.0166956277787256,-0.0111948359429805,-0.0112579697427734,0.0075474512770421,0.0075191117713522,-0.0044424652499659,-0.0044523623211882,-0.0305363041900096,-0.0310122513027884,0.04991134574683309,0.0496631388440123,-0.055183182298839895,-0.0558990993741234
Sun Pharma,NSE,Unknown Drug,Unknown Drug,2019-01-22,Bad,-0.0600485771372429,-0.0619270828590089,-0.0839292771734743,-0.0876617089625147,-0.0839292771734743,-0.0876617089625147,0.019321974691931,0.0191376755705902,0.019321974691931,0.0191376755705902,0.0518455189829187,0.0505462584594536,0.0287621055823281,0.0283562402131317,-0.0185614578604259,-0.0187358834873604,-0.0014184414674723,-0.001419448407874,-0.0014184414674723,-0.001419448407874,,,-0.1892631821003295,-0.1989751496428579,0.007363764786957598,0.0067814599100233
